Rule 1: {296} => {318},Confidence: 0.6186440677966102, Support: 146 
Rule 2: {318} => {296},Confidence: 0.5816733067729084, Support: 146 
Rule 3: {356} => {318},Confidence: 0.5538461538461539, Support: 144 
Rule 4: {318} => {356},Confidence: 0.5737051792828686, Support: 144 
Rule 5: {296} => {356},Confidence: 0.597457627118644, Support: 141 
Rule 6: {356} => {296},Confidence: 0.5423076923076923, Support: 141 
Rule 7: {593} => {356},Confidence: 0.5833333333333334, Support: 126 
Rule 8: {356} => {593},Confidence: 0.4846153846153846, Support: 126 
Rule 9: {593} => {318},Confidence: 0.5787037037037037, Support: 125 
Rule 10: {318} => {593},Confidence: 0.49800796812749004, Support: 125 
Rule 11: {296} => {593},Confidence: 0.5296610169491526, Support: 125 
Rule 12: {593} => {296},Confidence: 0.5787037037037037, Support: 125 
Rule 13: {356} => {110},Confidence: 0.46153846153846156, Support: 120 
Rule 14: {110} => {356},Confidence: 0.6382978723404256, Support: 120 
Rule 15: {2571} => {356},Confidence: 0.5748792270531401, Support: 119 
Rule 16: {356} => {2571},Confidence: 0.4576923076923077, Support: 119 
Rule 17: {318} => {110},Confidence: 0.4581673306772908, Support: 115 
Rule 18: {110} => {318},Confidence: 0.6117021276595744, Support: 115 
Rule 19: {1196} => {260},Confidence: 0.6951219512195121, Support: 114 
Rule 20: {260} => {1196},Confidence: 0.5968586387434555, Support: 114 
Rule 21: {480} => {356},Confidence: 0.6312849162011173, Support: 113 
Rule 22: {356} => {480},Confidence: 0.4346153846153846, Support: 113 
Rule 23: {296} => {110},Confidence: 0.4661016949152542, Support: 110 
Rule 24: {110} => {296},Confidence: 0.5851063829787234, Support: 110 
Rule 25: {2571} => {318},Confidence: 0.5314009661835749, Support: 110 
Rule 26: {318} => {2571},Confidence: 0.43824701195219123, Support: 110 
Rule 27: {356} => {527},Confidence: 0.4115384615384615, Support: 107 
Rule 28: {527} => {356},Confidence: 0.622093023255814, Support: 107 
Rule 29: {2571} => {2959},Confidence: 0.5169082125603864, Support: 107 
Rule 30: {2959} => {2571},Confidence: 0.6184971098265896, Support: 107 
Rule 31: {296} => {2571},Confidence: 0.4491525423728814, Support: 106 
Rule 32: {2571} => {296},Confidence: 0.5120772946859904, Support: 106 
Rule 33: {2571} => {1196},Confidence: 0.5024154589371981, Support: 104 
Rule 34: {1196} => {2571},Confidence: 0.6341463414634146, Support: 104 
Rule 35: {296} => {2959},Confidence: 0.4364406779661017, Support: 103 
Rule 36: {2959} => {296},Confidence: 0.5953757225433526, Support: 103 
Rule 37: {356} => {2959},Confidence: 0.39615384615384613, Support: 103 
Rule 38: {2959} => {356},Confidence: 0.5953757225433526, Support: 103 
Rule 39: {1210} => {260},Confidence: 0.6754966887417219, Support: 102 
Rule 40: {260} => {1210},Confidence: 0.5340314136125655, Support: 102 
Rule 41: {318} => {527},Confidence: 0.4063745019920319, Support: 102 
Rule 42: {527} => {318},Confidence: 0.5930232558139535, Support: 102 
Rule 43: {1210} => {1196},Confidence: 0.6688741721854304, Support: 101 
Rule 44: {1196} => {1210},Confidence: 0.6158536585365854, Support: 101 
Rule 45: {296} => {50},Confidence: 0.423728813559322, Support: 100 
Rule 46: {50} => {296},Confidence: 0.6756756756756757, Support: 100 
Rule 47: {50} => {318},Confidence: 0.6756756756756757, Support: 100 
Rule 48: {318} => {50},Confidence: 0.398406374501992, Support: 100 
Rule 49: {318} => {2959},Confidence: 0.398406374501992, Support: 100 
Rule 50: {2959} => {318},Confidence: 0.5780346820809249, Support: 100 
Rule 51: {480} => {296},Confidence: 0.5586592178770949, Support: 100 
Rule 52: {296} => {480},Confidence: 0.423728813559322, Support: 100 
Rule 53: {260} => {318},Confidence: 0.5235602094240838, Support: 100 
Rule 54: {318} => {260},Confidence: 0.398406374501992, Support: 100 
Rule 55: {356} => {364},Confidence: 0.38076923076923075, Support: 99 
Rule 56: {364} => {356},Confidence: 0.7333333333333333, Support: 99 
Rule 57: {457} => {356},Confidence: 0.6513157894736842, Support: 99 
Rule 58: {356} => {457},Confidence: 0.38076923076923075, Support: 99 
Rule 59: {356} => {150},Confidence: 0.3769230769230769, Support: 98 
Rule 60: {150} => {356},Confidence: 0.6447368421052632, Support: 98 
Rule 61: {296} => {47},Confidence: 0.4152542372881356, Support: 98 
Rule 62: {47} => {296},Confidence: 0.6405228758169934, Support: 98 
Rule 63: {318} => {47},Confidence: 0.3904382470119522, Support: 98 
Rule 64: {47} => {318},Confidence: 0.6405228758169934, Support: 98 
Rule 65: {480} => {589},Confidence: 0.547486033519553, Support: 98 
Rule 66: {589} => {480},Confidence: 0.5975609756097561, Support: 98 
Rule 67: {356} => {589},Confidence: 0.3769230769230769, Support: 98 
Rule 68: {589} => {356},Confidence: 0.5975609756097561, Support: 98 
Rule 69: {480} => {110},Confidence: 0.547486033519553, Support: 98 
Rule 70: {110} => {480},Confidence: 0.5212765957446809, Support: 98 
Rule 71: {480} => {593},Confidence: 0.547486033519553, Support: 98 
Rule 72: {593} => {480},Confidence: 0.4537037037037037, Support: 98 
Rule 73: {2571} => {260},Confidence: 0.47342995169082125, Support: 98 
Rule 74: {260} => {2571},Confidence: 0.5130890052356021, Support: 98 
Rule 75: {7153} => {4993},Confidence: 0.708029197080292, Support: 97 
Rule 76: {4993} => {7153},Confidence: 0.6783216783216783, Support: 97 
Rule 77: {318} => {150},Confidence: 0.38247011952191234, Support: 96 
Rule 78: {150} => {318},Confidence: 0.631578947368421, Support: 96 
Rule 79: {356} => {47},Confidence: 0.36923076923076925, Support: 96 
Rule 80: {47} => {356},Confidence: 0.6274509803921569, Support: 96 
Rule 81: {2571} => {2028},Confidence: 0.45893719806763283, Support: 95 
Rule 82: {2028} => {2571},Confidence: 0.6597222222222222, Support: 95 
Rule 83: {593} => {47},Confidence: 0.4398148148148148, Support: 95 
Rule 84: {47} => {593},Confidence: 0.6209150326797386, Support: 95 
Rule 85: {589} => {110},Confidence: 0.5792682926829268, Support: 95 
Rule 86: {110} => {589},Confidence: 0.5053191489361702, Support: 95 
Rule 87: {1} => {356},Confidence: 0.5621301775147929, Support: 95 
Rule 88: {356} => {1},Confidence: 0.36538461538461536, Support: 95 
Rule 89: {593} => {527},Confidence: 0.4398148148148148, Support: 95 
Rule 90: {527} => {593},Confidence: 0.5523255813953488, Support: 95 
Rule 91: {5952} => {4993},Confidence: 0.706766917293233, Support: 94 
Rule 92: {4993} => {5952},Confidence: 0.6573426573426573, Support: 94 
Rule 93: {593} => {110},Confidence: 0.4351851851851852, Support: 94 
Rule 94: {110} => {593},Confidence: 0.5, Support: 94 
Rule 95: {356} => {260},Confidence: 0.36153846153846153, Support: 94 
Rule 96: {260} => {356},Confidence: 0.49214659685863876, Support: 94 
Rule 97: {4993} => {2571},Confidence: 0.6503496503496503, Support: 93 
Rule 98: {2571} => {4993},Confidence: 0.4492753623188406, Support: 93 
Rule 99: {1210} => {2571},Confidence: 0.6158940397350994, Support: 93 
Rule 100: {2571} => {1210},Confidence: 0.4492753623188406, Support: 93 
